Table,Classification,ID,ZH,VN,TH
battle_round.xlsx,name,22,死战雁门,Tử Chiến Nhạn Môn,สู้ตายที่เยี่ยนเหมิน
battle_round.xlsx,name,23,远征罗刹,Viễn Chinh La Sát,ออกศึกรากษส
battle_round.xlsx,name,24,围攻明教,Vây Công Minh Giáo,ล้อมบุกพรรคเม้งก่า
battle_round.xlsx,name,25,共御番邦,Cùng Chống Phiên Bang,ร่วมต้านต่างแดน
battle_round.xlsx,name,26,中原霸主,Bá Chủ Trung Nguyên,จ้าวแห่งจงหยวน
battle_round.xlsx,name,27,辎重争夺,Tranh Đoạt Quân Dụng,ชิงขบวนเสบียง
battle_round.xlsx,name,28,世外仙岛,Thế Ngoại Tiên Đảo,เกาะเซียนนอกโลก
battle_round.xlsx,name,29,五岳伐魔,Ngũ Nhạc Phạt Ma,ห้ายอดเขาปราบมาร
battle_round.xlsx,name,30,帮派之敌,Bang Phái Chi Địch,ศัตรูของสำนัก
battle_round.xlsx,name,31,门派争霸,Bang Phái Tranh Phong,ชิงจ้าวสำนัก
battle_round.xlsx,name,32,高手切磋,Cao Thủ Giao Đấu,ประลองยอดฝีมือ
battle_round.xlsx,name,33,经典战役,Chiến Dịch Kinh Điển,ศึกคลาสสิก
battle_round.xlsx,name,34,攻城掠地,Công Thành Chiếm Đất,ตีเมืองปล้นแผ่นดิน
battle_round.xlsx,name,35,试炼活动,Sự Kiện Thí Luyện,กิจกรรมทดสอบ
battle_round.xlsx,name,36,粮草争锋,Cướp Đoạt Lương Thảo,แย่งชิงเสบียง
battle_round.xlsx,name,37,粮草争锋,Cướp Đoạt Lương Thảo,แย่งชิงเสบียง
battle_round.xlsx,name,38,天命挑战,Khiêu Chiến Thiên Mệnh,ท้าทายโชคชะตา
battle_round.xlsx,name,39,游牧草原,Du Mục Thảo Nguyên,ทุ่งหญ้าเร่ร่อน
battle_round.xlsx,name,40,智取天下,Trí Thủ Thiên Hạ,พิชิตใต้หล้าด้วยปัญญา
battle_round.xlsx,name,41,问鼎江湖,Vấn Đỉnh Giang Hồ,ชิงจ้าวยุทธภพ
battle_round.xlsx,name,42,积分赛,Đấu Điểm,การแข่งขันสะสมแต้ม
battle_round.xlsx,name,43,淘汰赛,Đấu Loại,รอบคัดออก
battle_round.xlsx,name,44,大富翁,Đại Phú Ông,เศรษฐีใหญ่
battle_round.xlsx,name,45,国家爬塔第1队战斗,Đấu Đội 1 Leo Tháp Quốc Gia,การต่อสู้ทีมที่ 1 ในโหมดปีนหอคอยประเทศ
battle_round.xlsx,name,46,国家爬塔第2队战斗,Đấu Đội 2 Leo Tháp Quốc Gia,การต่อสู้ทีมที่ 2 ในโหมดปีนหอคอยประเทศ
battle_round.xlsx,name,47,疆场争锋,Chiến Trường Khốc Liệt,ศึกชิงชัยแดนรบ
battle_round.xlsx,name,48,破境之机第1队,Phá Cảnh Chi Cơ đội 1,ทีมที่ 1 โอกาสทะลวงขอบเขต
battle_round.xlsx,name,49,破境之机第2队,Phá Cảnh Chi Cơ đội 2,ทีมที่ 2 โอกาสทะลวงขอบเขต
battle_round.xlsx,name,50,破境之机第3队,Phá Cảnh Chi Cơ đội 3,ทีมที่ 3 โอกาสทะลวงขอบเขต
battle_round.xlsx,name,51,独孤剑冢,Độc Cô Kiếm Trủng,สุสานดาบต๊กโกว
battle_round.xlsx,name,52,轮回幻境,Luân Hồi Huyễn Cảnh,แดนมายาวัฏสงสาร
battle_round.xlsx,name,53,血战剑门1队,Đội 1 Huyết Chiến Kiếm Môn,ทีมที่ 1 สนามรบประตูดาบ
battle_round.xlsx,name,54,血战剑门2队,Đội 2 Huyết Chiến Kiếm Môn,ทีมที่ 2 ของการต่อสู้ด้วยดาบประตู
battle_round.xlsx,name,55,演示战斗,Trình Diễn Chiến Đấu,การต่อสู้สาธิต
battle_round.xlsx,round_limit,61,速战主规则：玩家点击速战，跳过战斗至总战斗回合的一半（向下取整）：例如总战斗回合7回合，玩家最多跳到第4回合开始,"Quy tắc chính của Chiến đấu nhanh: Người chơi nhấp vào Chiến đấu nhanh, bỏ qua chiến đấu đến một nửa tổng số hiệp chiến đấu (làm tròn xuống): Ví dụ tổng số hiệp chiến đấu là 7 hiệp, người chơi có thể nhảy tối đa đến hiệp thứ 4 để bắt đầu.",กฎหลักของการต่อสู้ด่วน: ผู้เล่นคลิกที่การต่อสู้ด่วนเพื่อข้ามการต่อสู้ไปจนถึงครึ่งหนึ่งของจำนวนเทิร์นการต่อสู้ทั้งหมด (ปัดเศษลง): เช่น หากการต่อสู้ทั้งหมดมี 7 เทิร์น ผู้เล่นสามารถข้ามไปเริ่มที่เทิร์นที่ 4 ได้มากที่สุด
battle_round.xlsx,round_limit,62,1，速战最少跳过2回合，当总战斗回合 <= 2，则无论当前回合处于第几回合，点击速战后，直接跳过战斗进行结算,"1, Chiến đấu nhanh bỏ qua ít nhất 2 hiệp, nếu tổng số hiệp chiến đấu <= 2, thì bất kể hiệp hiện tại là hiệp thứ mấy, sau khi nhấp vào Chiến đấu nhanh sẽ bỏ qua trận đấu và tiến hành kết toán ngay lập tức.",1. ต่อสู้เร็ว ข้ามอย่างน้อย 2 เทิร์น หากจำนวนเทิร์นการต่อสู้ทั้งหมด <= 2 ไม่ว่ากำลังอยู่เทิร์นใด เมื่อคลิกต่อสู้เร็ว จะข้ามการต่อสู้ไปสู่การคำนวณผลทันที
battle_round.xlsx,round_limit,63,2，当总战斗回合 > 2时,"2, khi tổng số hiệp chiến đấu > 2",2. เมื่อจำนวนรอบการต่อสู้ทั้งหมด > 2
battle_round.xlsx,round_limit,64,"2.1，当前回合 <= max [int(总回合 / 2) ,2]，战斗跳到 max [int(总回合 / 2) ,2] + 1 回合","2.1, lượt hiện tại <= max [int(tổng số lượt / 2), 2], trận đấu nhảy đến lượt max [int(tổng số lượt / 2), 2] + 1","2.1, เทิร์นปัจจุบัน <= max [int(จำนวนเทิร์นทั้งหมด / 2) ,2], การต่อสู้จะกระโดดไปยังเทิร์น max [int(จำนวนเทิร์นทั้งหมด / 2) ,2] + 1"
battle_round.xlsx,round_limit,65,"2.2，当前回合 > max [int(总回合 / 2) ,2]，禁止速战，速战按钮隐藏","2.2, lượt hiện tại > max [int(tổng số lượt / 2), 2], cấm chiến nhanh, nút chiến nhanh ẩn đi","2.2, เทิร์นปัจจุบัน > max [int(จำนวนเทิร์นทั้งหมด / 2) ,2], ห้ามการต่อสู้แบบเร่งด่วน, ปุ่มต่อสู้แบบเร่งด่วนถูกซ่อน"
battle_soul.xlsx,name,7,疾攻如雷,Tấn Công Như Sấm,โจมตีฉับไวดั่งสายฟ้า
battle_soul.xlsx,name,12,镇军如岳,Trấn Thủ Như Đồi,ปักหลักมั่นคงดั่งภูผา
battle_soul.xlsx,name,17,其疾如风,Hành Quân Như Gió,รวดเร็วดั่งสายลม
battle_soul.xlsx,name,22,不动如山,Bất Động Như Núi,มั่นคงดั่งขุนเขา
battle_soul.xlsx,name,27,润物如雨,Thấm Nhuần Như Mưa,หล่อเลี้ยงดั่งสายฝน
battle_soul.xlsx,name,32,避敌如雾,Tránh Địch Như Sương,หลบศัตรูดั่งสายหมอก
battle_soul.xlsx,name,37,摧阵如崩,Phá Trận Như Đá,ทลายค่ายกลดั่งแผ่นดินถล่ม
battle_soul.xlsx,name,42,佑阵如林,Che Chở Như Rừng,ค่ายกลแน่นดั่งป่า
battle_soul.xlsx,name,47,陷兵如沼,Quét Địch Như Lũ,วางกับดักดั่งบึงโคลน
battle_soul.xlsx,name,52,围城如沙,Vây Thành Như Cát,โอบล้อมดั่งเม็ดทราย
battle_soul.xlsx,name,57,侵蚀如水,Xâm Thực Như Nước,แทรกซึมดั่งสายน้ำ
battlefield_reward_move.xlsx,desc,7,行军过程中路遇乡绅，巧获赠与，获得<color=#ff3dfd>铜钱*5万</color>,"Trong lúc hành quân gặp vài hương thân, được tặng quà, nhận <color=#ff3dfd>5 vạn Xu</color>",ระหว่างการเดินทัพ ระหว่างทางพบผู้มีอันจะกินในท้องถิ่น ได้รับของขวัญโดยบังเอิญ ได้รับ <color=#ff3dfd>เหรียญทองแดง*50000</color>
battlefield_reward_move.xlsx,desc,8,行军过程中听闻附近有能人义士，并前往拜访，获得<color=#ff2323>聚贤令*1</color>,"Trong lúc hành quân nghe nói ở gần đó có nghĩa sĩ, bèn đến gặp, nhận <color=#ff2323>1 Lệnh Tụ Hiền</color>",ระหว่างการเดินทัพ ได้ยินว่ามีผู้มีความสามารถและคุณธรรมอยู่ใกล้ๆ จึงเดินทางไปเยี่ยมเยียน ได้รับ <color=#ff2323>คำสั่งรวมปราชญ์*1</color>
battlefield_reward_move.xlsx,desc,9,行军过程中遭遇山贼，山贼落荒而逃留下了一堆财物，获得<color=#ff3dfd>普通招募令*2</color>,"Trong lúc hành quân gặp sơn tặc, sơn tặc trong lúc bỏ chạy bỏ lại rất nhiều tài vật, nhận <color=#ff3dfd>2 Lệnh Chiêu Mộ Thường</color>",ระหว่างการเดินทัพ เผชิญหน้ากับโจรภูเขา โจรภูเขาหนีไปอย่างไม่คิดชีวิต ทิ้งกองสมบัติไว้ ได้รับ <color=#ff3dfd>คำสั่งรับสมัครทั่วไป*2</color>
battlefield_reward_move.xlsx,desc,10,行军过程中遇到了有困难的富贵人家，并护送其至城中，其留下谢礼便离去，获得<color=#ffd164>高级招募令*1</color>,"Trong lúc hành quân một người giàu gặp nạn, bèn hộ tống về thành, người đó tặng quà tạ lễ xong rời đi, nhận <color=#ffd164>1 Lệnh Chiêu Mộ Cao Cấp</color>",ระหว่างการเดินทัพ พบครอบครัวเศรษฐีที่กำลังประสบปัญหา จึงคุ้มกันพาไปยังเมือง พวกเขาจึงมอบของขวัญขอบคุณแล้วจากไป ได้รับ <color=#ffd164>คำสั่งรับสมัครขั้นสูง*1</color>
battlefield_reward_move.xlsx,desc,11,行军过程中遇到溃散的将领，并且其收编至阵中，将魂重燃，获得<color=#ff3dfd>普通夺宝令*2</color>,"Trong lúc hành quân gặp tướng lĩnh chạy loạn, bèn thu nhận về đội, chỉnh trang quân doanh, nhận <color=#ff3dfd>2 Lệnh Đoạt Bảo Thường</color>",ระหว่างการเดินทัพ ได้พบกับขุนพลที่แตกพ่าย และสามารถรับเข้ากองทัพได้ วิญญาณขุนพลจุดประกายอีกครั้ง ได้รับ <color=#ff3dfd>คำสั่งชิงสมบัติทั่วไป*2</color>
battlefield_reward_move.xlsx,desc,12,行军过程中发现前方霞光，惊遇宝物，获得<color=#ffd164>高级夺宝令*1</color>,"Trong lúc hành quân phát hiện phía trước có ánh sáng tím, thì ra là bảo vật, nhận <color=#ffd164>1 Lệnh Đoạt Bảo Cao Cấp</color>",ระหว่างการเดินทัพพบแสงรุ้งอยู่เบื้องหน้า บังเอิญเจอสมบัติล้ำค่า ได้รับ<color=#ffd164>คำสั่งชิงสมบัติขั้นสูง*1</color>
battlefield_reward_move.xlsx,desc,13,行军过程中发现小村庄中居住一位巧夺天工的铁匠，获得<color=#ff3dfd>比武战书*2</color>,"Trong lúc hành quân phát hiện trong thôn có một thợ rèn tài ba, nhận <color=#ff3dfd>2 Chiến Thư Tỷ Võ</color>",ระหว่างการเดินทัพ พบช่างตีเหล็กผู้มีฝีมือประณีตราวสวรรค์สร้างอาศัยอยู่ในหมู่บ้านเล็กๆ ได้รับ <color=#ff3dfd>จดหมายท้าประลอง*2</color>
battlefield_reward_move.xlsx,desc,14,行军过程中偶遇绝世佳人，听闻将军为国出征，留下一点心意便离去，获得<color=#ff3dfd>侠客经验*4万</color>,"Trong quá trình hành tẩu, ngẫu nhiên gặp được tuyệt thế giai nhân, nghe nói Hiệp Khách vì chính nghĩa mà xông pha, để lại chút tâm ý rồi rời đi, nhận <color=#ff3dfd>4 vạn điểm kinh nghiệm Hiệp Khách</color>.",ระหว่างการเดินทัพ บังเอิญพบหญิงงามเลิศล้ำ ได้ยินว่าท่านแม่ทัพออกศึกเพื่อชาติ จึงมอบน้ำใจเล็กน้อยแล้วจากไป ได้รับ <color=#ff3dfd>EXP จอมยุทธ์*40000</color>
battlefield_reward_move.xlsx,desc,15,行军过程中，阵中军师突发奇想，获得<color=#ff3dfd>4星随机碎片*30</color>,"Trong lúc hành quân, quân sư trong đội chợt nảy ra ý tưởng mới, nhận <color=#ff3dfd>30 Mảnh Ngẫu Nhiên 4 Sao</color>",ระหว่างการเดินทัพ ที่ปรึกษาในกองทัพเกิดความคิดบรรเจิด ได้รับ <color=#ff3dfd>ชิ้นส่วนสุ่ม 4 ดาว*30</color>
battlefield_reward_move.xlsx,desc,16,行军过程中遇到前来投奔的热血之士，获得<color=#ffd164>5星随机碎片*5</color>,"Trong lúc hành quân gặp người nhiệt huyết đến xin đầu quân, nhận <color=#ffd164>5 Mảnh Ngẫu Nhiên 5 Sao</color>",ระหว่างการเดินทัพ พบนักรบผู้เปี่ยมด้วยเลือดร้อนที่มาขอพึ่งพิง ได้รับ <color=#ffd164>ชิ้นส่วนสุ่ม 5 ดาว*5</color>
battlefield_reward_move.xlsx,desc,17,行军过程中为补充阵中战力，进行将士招募，获得<color=#ffd164>进阶石*100</color>,"Trong lúc hành quân đã chiêu mộ tướng sĩ để bổ sung chiến lực, nhận <color=#ffd164>100 Đá Tăng Bậc</color>",ระหว่างการเดินทัพ เพื่อเสริมกำลังรบในกองทัพ จึงทำการรับสมัครทหาร ได้รับ <color=#ffd164>หินเลื่อนขั้น*100</color>
battlefield_reward_move.xlsx,desc,18,行军过程中偶遇隐世高人为君指点迷境，获得<color=#ffd164>元宝*50</color>,"Trong quá trình hành tẩu, ngẫu nhiên gặp cao nhân ẩn thế chỉ điểm mê cảnh, nhận được <color=#ffd164>Nguyên Bảo*51</color>.",ระหว่างการเดินทัพ บังเอิญพบยอดฝีมือผู้เร้นกายมาชี้นำทางในแดนลี้ลับ ได้รับ <color=#ffd164>ตำลึง*51</color>
beauty_base.xlsx,name,7,完颜萍,Chung Linh,เฉินเจียลั่ว
beauty_base.xlsx,name,8,晓蕾,Nhạc Linh San,ลี้ชิวจุ้ย
beauty_base.xlsx,name,9,阿珂,Tiểu Long Nữ,เซียวเหล่งนึ่ง
beauty_base.xlsx,name,10,霍青桐,Hoàng Dung,อึ้งย้ง
beauty_base.xlsx,name,11,殷离,Vương Ngữ Yên,อ้วงงีอี้
beauty_base.xlsx,name,12,公孙绿萼,Chu Chỉ Nhược,จิวจี้เยี้ยก
beauty_base.xlsx,name,13,阿朱,Tiểu Chiêu,เสี่ยวเจียว
beauty_base.xlsx,name,14,建宁公主,Nhậm Doanh Doanh,ยิ่มเอ็งเอ็ง
beauty_base.xlsx,name,15,阿青,Lý Thu Thủy,งักเล้งซัว
beauty_base.xlsx,name,16,阿紫,Mai Siêu Phong,จงหลิง
beauty_base.xlsx,name,17,华筝,Mộc Uyển Thanh,มู่หว่านชิง
beauty_base.xlsx,name,18,李清露,Triệu Mẫn,หลี่ชิงลู่
beauty_base.xlsx,name,19,李文秀,Trình Anh,เฉิงอิง
beauty_base.xlsx,name,20,香香公主,Lý Mạc Sầu,ลี้มกโช้ว
beauty_base.xlsx,name,21,蓝凤凰,Miêu Nhược Lan,บลู ฟีนิกซ์
beauty_base.xlsx,desc1,7,默认解锁,Mặc định mở khóa,ปลดล็อกตามค่าเริ่มต้น
beauty_base.xlsx,desc1,8,钟灵赏赐40次,Mai Siêu Phong ban thưởng 40 lần.,บ๊วยเถียวฮวงให้รางวัล 40 ครั้ง
beauty_base.xlsx,desc1,9,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,10,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,11,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,12,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,13,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,14,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,15,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,16,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,17,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,18,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,19,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,20,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc1,21,活动兑换,Đổi ở sự kiện,แลกรางวัลกิจกรรม
beauty_base.xlsx,desc2,7,万劫谷中女，天真活泼。驭闪电毒貂，结缘段公子。,"Cô gái trong Vạn Kiếp Cốc, ngây thơ hoạt bát. Điều khiển Thiểm Điện Độc Điêu, kết duyên Đoàn công tử.",ประมุขใหญ่แห่งพรรคดอกไม้แดง แบกรับความลับของชาติและตระกูล บัณฑิตจับกระบี่ นำผู้คนต่อต้านราชวงศ์ชิง
beauty_base.xlsx,desc2,8,华山小师妹，掌门掌上珠。一朝情错付，薄命丧君手。,"Tiểu sư muội Hoa Sơn, trân bảo của chưởng môn. Một ngày tình trao nhầm, bạc mệnh chết dưới tay chàng.",พระสนมเอกแห่งประเทศซีเซี่ย ศิษย์สำนักเซียวเหยา คลั่งรัก ต่อสู้กับศิษย์พี่หญิงไปตลอดชีวิต
beauty_base.xlsx,desc2,9,古墓派掌门，容色绝俗。清冷若仙，为爱守候十六载。,"Chưởng môn Cổ Mộ Phái, dung mạo tuyệt trần. Thanh lãnh như tiên, vì tình yêu chờ đợi mười sáu năm.",เจ้าสำนักสุสานโบราณ ผู้งดงามเหนือโลก เยือกเย็นดุจเซียน เฝ้ารอด้วยรักถึงสิบหกปี
beauty_base.xlsx,desc2,10,东邪之女，丐帮帮主。聪慧无双，巧助郭靖成大侠。,"Con gái Đông Tà, Bang chủ Cái Bang. Thông minh vô song, khéo léo giúp Quách Tĩnh thành đại hiệp.",บุตรีแห่งมารบูรพา ประมุขพรรคกระยาจก ผู้ฉลาดเป็นเลิศ ช่วยก๊วยเจ๋งให้เป็นจอมยุทธ์ได้อย่างชาญฉลาด
beauty_base.xlsx,desc2,11,曼陀山庄之女，身具琅嬛武学。不谙半分武功，却识天下招式。,"Con gái Mạn Đà Sơn Trang, thân mang võ học Lang Hoàn. Không hiểu chút võ công nào, nhưng lại biết hết chiêu thức thiên hạ.",ธิดาแห่งจวนหุบเขาม่านโถว มีวิชาบู๊จากตำราหลางหวน ไม่รู้แม้แต่วิชาบู๊แม้แต่น้อย แต่รู้จักกระบวนท่าทั่วหล้า
beauty_base.xlsx,desc2,12,峨眉派第四代掌门。本性芷兰，承师遗命，玉女变罗刹。,"Chưởng môn đời thứ tư phái Nga Mi. Bản tính thanh khiết như hoa, thừa kế di mệnh sư phụ, Ngọc Nữ biến La Sát.",เจ้าสำนักง้อไบ๊รุ่นที่สี่ มีอุปนิสัยบริสุทธิ์ดุจกล้วยไม้ รับคำสั่งเสียของอาจารย์ จากหญิงงามกลายเป็นอสูร
beauty_base.xlsx,desc2,13,甘为侍婢，情系无忌。为母舍身，远赴波斯。,"Cam tâm làm thị tỳ, tình ý với Vô Kỵ. Vì mẹ hy sinh thân mình, xa xôi đến Ba Tư.",ยินดีเป็นสาวใช้ ผูกพันรักกับบ่อกี้ สละชีพเพื่อมารดา เดินทางไกลไปยังเปอร์เซีย
beauty_base.xlsx,desc2,14,日月正教圣姑，杀伐果决。倾心正派浪子，甘为知音一生。,"Thánh Cô Nhật Nguyệt Thần Giáo, sát phạt quả quyết. Đem lòng yêu lãng tử chính phái, cam tâm làm tri kỷ cả đời.",ท่านหญิงแห่งนิกายสุริยันจันทรา ผู้เฉียบขาดไร้ความลังเลในการสังหาร กลับหลงรักจอมยุทธ์ฝ่ายธรรมะผู้พเนจร ยอมเป็นคู่รู้ใจไปชั่วชีวิต
